Image,Disease %,Contrast,Correlation,Energy,Homogeneity,ASM,Dissimilarity
1.JPG,3.672804627,176.346875,0.7259569692,0.9688577014,0.9697426896,0.9386852456,1.796354167
10.JPG,0.1711371892,7.136121324,0.5639444959,0.9989123833,0.9989776011,0.9978259496,0.06602328431
100.JPG,21.56966224,616.81106,0.7922674751,0.8341655533,0.8387504381,0.6958321702,7.529074755
101.JPG,19.47871003,600.5970895,0.8180440929,0.8444433913,0.850462776,0.7130846411,6.804932598
102.JPG,3.388020049,185.9289522,0.731079422,0.9628375366,0.9635997198,0.9270561219,2.031372549
103.JPG,12.16934824,327.7479473,0.8658679376,0.9123632915,0.9156979288,0.8324067757,3.75713848
104.JPG,4.067018718,251.8595282,0.7460530379,0.9550866839,0.9566405163,0.9121905737,2.485569853
105.JPG,16.5307833,437.3497243,0.8546820543,0.8880530926,0.8928028205,0.7886382952,4.619730392
106.JPG,13.4357855,502.6550551,0.8478914267,0.8542609574,0.859219361,0.7297617834,5.995526961
107.JPG,1.908953451,106.2838848,0.6667977659,0.980086091,0.9805396998,0.9605687458,1.172977941
108.JPG,4.008538041,172.0075368,0.6805471796,0.9670808377,0.9677170493,0.9352453467,1.897120098
109.JPG,13.40220726,454.6710478,0.8022804365,0.8780053817,0.8819368515,0.7708934503,5.445741422
11.JPG,95.7736878,1030.702022,0.8831483136,0.5395609755,0.5666921414,0.2911260463,13.61354167
110.JPG,2.947681666,147.0792586,0.6043339767,0.978401137,0.9788145309,0.9572687849,1.45536152
111.JPG,8.079615174,236.7128983,0.8510119931,0.9267475412,0.9306981466,0.8588610051,2.810018382
112.JPG,32.69783483,769.6552083,0.7620505429,0.7594797754,0.7674607228,0.5768095292,9.951286765
113.JPG,0.006595218467,0.08164828431,-2.58E-05,0.999938726,0.9999388234,0.9998774557,0.002052696078
114.JPG,17.90506052,470.4320619,0.8571015706,0.8812517992,0.8861301916,0.7766047336,5.023207721
115.JPG,8.16035816,277.8044424,0.7611417205,0.9376696293,0.9393464906,0.8792243336,3.101960784
116.JPG,16.39776288,535.8309436,0.8218313409,0.8353438714,0.8410048948,0.6977993835,6.80658701
117.JPG,14.22536923,350.5808517,0.8064850558,0.8537585674,0.8621131006,0.7289036914,4.956740196
118.JPG,21.14426556,441.0919424,0.7768135748,0.8717407336,0.8752813669,0.7599319066,5.740625
119.JPG,0.07341604875,2.447640931,0.1637079545,0.9994332161,0.9994364536,0.9988667535,0.03495710784
12.JPG,9.941794709,416.223223,0.820097935,0.9004461087,0.9033976201,0.8108031947,4.68560049
120.JPG,5.297913853,305.6365502,0.7670772172,0.940105264,0.9417471759,0.8837979073,3.244883578
121.JPG,3.919884758,210.3093444,0.7654938201,0.9534472399,0.9547124912,0.9090616393,2.382659314
122.JPG,3.355603708,225.1959559,0.6797322195,0.9664220963,0.9668882922,0.9339716683,2.214644608
123.JPG,2.825983347,227.9724265,0.6916385534,0.9645533826,0.9653507922,0.9303632279,2.221139706
124.JPG,82.24047065,1050.554412,0.8881431493,0.5615943483,0.5775987624,0.315388212,15.13964461
125.JPG,16.04754302,866.3437194,0.7224589382,0.8484133113,0.8526740189,0.7198051468,8.603553922
126.JPG,8.391567326,277.0322917,0.7972009017,0.9328134942,0.9346046313,0.870141015,3.252971814
127.JPG,4.429999141,249.4343137,0.8092784422,0.9692251803,0.9704002791,0.9393974501,1.926930147
128.JPG,76.04354043,878.430239,0.9218449553,0.7111922379,0.731539584,0.5057943992,8.996446078
129.JPG,12.16834058,518.2289522,0.7794738114,0.8935228627,0.8967993618,0.7983831062,5.460294118
13.JPG,1.83980123,133.2438725,0.6360437244,0.9777423821,0.9781513318,0.9559801658,1.389154412
130.JPG,16.23560445,695.5714154,0.7817137983,0.8314091975,0.8362347405,0.6912412536,7.933394608
131.JPG,10.93573071,309.5954657,0.7752613886,0.9285095531,0.9317578758,0.8621299903,3.340349265
132.JPG,17.31566128,603.0272978,0.8319093389,0.8735015166,0.8792264234,0.7630048994,5.785569853
133.JPG,12.60115997,360.9306679,0.8536200071,0.9038615656,0.9068854596,0.8169657298,4.220741422
134.JPG,0.03298054148,4.079197304,0.1094146483,0.9996936294,0.9996936636,0.9993873528,0.03422181373
135.JPG,46.80338375,971.0998162,0.8627109077,0.7738564228,0.7824159967,0.5988537632,9.687469363
136.JPG,92.42655348,803.4776348,0.8926252527,0.7202584328,0.7324347223,0.51877221,9.831862745
137.JPG,63.53707415,549.6138787,0.8701723281,0.8699781046,0.8784768038,0.7568619026,5.093045343
138.JPG,4.107977489,230.5076287,0.7468236182,0.9587781621,0.9596417306,0.9192555641,2.358026961
139.JPG,12.19939048,513.2554228,0.7676065035,0.8678192953,0.8718615415,0.7531103293,6.20067402
14.JPG,57.75754672,949.0680147,0.8673311052,0.5960831642,0.6197934642,0.3553151386,12.98655025
140.JPG,14.3730172,530.9327206,0.807751598,0.8613087645,0.8654386013,0.7418527879,6.305729167
141.JPG,0.05194299257,1.919393382,0.2635835243,0.9995710815,0.999571217,0.9991423469,0.0275122549
142.JPG,5.829177966,259.5437194,0.7152840077,0.9447774904,0.9460294508,0.8926045063,2.960661765
143.JPG,62.3509842,632.8420343,0.9064381591,0.7592271426,0.772529639,0.5764258541,7.634191176
144.JPG,9.380514243,291.7875306,0.8275593769,0.9182921355,0.9221652148,0.8432604462,3.466329657
145.JPG,32.69160249,833.9654718,0.8660114096,0.8285121998,0.8373608557,0.6864324652,7.6171875
146.JPG,0.5596657339,6.137071078,0.7685143428,0.9968597132,0.9970114266,0.9937292877,0.1027267157
147.JPG,7.165026938,301.848652,0.8037394371,0.9441032565,0.9457535036,0.891330959,3.004258578
148.JPG,10.29243312,355.2338542,0.7973551375,0.912915155,0.9160430035,0.8334140803,3.965992647
149.JPG,2.799626716,108.8292279,0.749959323,0.9731161824,0.9739220926,0.9469551045,1.270680147
15.JPG,6.349945661,245.6219056,0.809305475,0.9430765762,0.9453364379,0.8893934286,2.593964461
150.JPG,0.08646467558,3.617340686,0.4841558439,0.9994025779,0.9994144419,0.9988055128,0.03789828431
151.JPG,15.75711247,436.4795343,0.7922692772,0.8678507893,0.8728879544,0.7531649925,5.452757353
152.JPG,5.339049104,304.8911152,0.7718978106,0.9393852521,0.9413484979,0.8824446518,3.18057598
153.JPG,67.10580275,1507.72644,0.8474084797,0.5935661263,0.6096270382,0.3523207462,16.95346201
154.JPG,71.00214081,1075.162132,0.9132967814,0.6593705801,0.6787677766,0.4347695619,11.69178922
155.JPG,12.34669624,422.2098346,0.8074314917,0.8919138241,0.8954833082,0.7955102696,4.926041667
156.JPG,52.35871648,714.5602022,0.8499847426,0.8093336756,0.8201987033,0.6550209985,7.273743873
157.JPG,80.60995034,831.5912377,0.921016939,0.6481292867,0.6694356901,0.4200715722,10.4036152
158.JPG,16.86478455,475.1864583,0.8112966289,0.8639891191,0.8681282753,0.7464771979,5.919117647
159.JPG,2.467263956,157.7724571,0.666168167,0.9753833863,0.975919778,0.9513727502,1.585447304
16.JPG,66.40926641,712.7511642,0.8976218335,0.7083144945,0.7345802657,0.5017094231,7.996323529
160.JPG,9.790809941,327.6478248,0.7974492612,0.9201607791,0.923659308,0.8466958594,3.549908088
161.JPG,94.49430311,816.2758885,0.9468794639,0.5436861596,0.5755449164,0.2955946401,11.13226103
162.JPG,5.848608282,219.5337316,0.7516628611,0.9516552851,0.9531191064,0.9056477816,2.455759804
163.JPG,12.80550421,451.166299,0.7336510289,0.8853449171,0.8884018396,0.7838356223,5.538694853
164.JPG,70.2654045,938.2773897,0.8682540714,0.5922013638,0.6093112645,0.3507024553,13.45854779
165.JPG,6.082568,347.7559436,0.7231705845,0.9252166745,0.9278164936,0.8560258948,3.842892157
166.JPG,0.08867868756,2.744761029,0.3745686234,0.9992187559,0.9992210764,0.9984381222,0.03927696078
167.JPG,14.18179702,593.7317708,0.788121052,0.8445206546,0.8505401045,0.713215136,6.883884804
168.JPG,12.07408915,419.1688419,0.807967678,0.8947783719,0.8979019441,0.8006283349,4.888449755
169.JPG,15.27023532,467.5622549,0.8354297522,0.8755226828,0.8803638295,0.766539968,5.239920343
17.JPG,49.20486895,838.9095588,0.8690522059,0.8073271135,0.8212900187,0.6517770683,7.567738971
170.JPG,33.97880539,630.1168505,0.8424615435,0.8557628725,0.8615267347,0.7323300939,6.459865196
171.JPG,3.250396735,168.6721201,0.6776351726,0.9687660005,0.9695709272,0.9385075637,1.835661765
172.JPG,2.16408784,135.2759804,0.713824409,0.9735144303,0.9740161932,0.947730346,1.517555147
173.JPG,19.42252755,651.877788,0.7965362882,0.8324032504,0.8372131402,0.6928951713,7.660539216
174.JPG,6.440259339,248.927788,0.800441004,0.9409628661,0.942988261,0.8854111154,2.738878676
175.JPG,7.355546183,165.5416667,0.8199846387,0.9232246697,0.9271778644,0.8523437907,2.523743873
176.JPG,9.037023527,338.1808211,0.8319558296,0.9361068781,0.9387994983,0.8762960872,3.12745098
177.JPG,17.18513647,620.6343597,0.7683770762,0.8560104413,0.860604549,0.7327538756,6.911963848
178.JPG,67.61466506,772.3522212,0.9094009246,0.6743149134,0.709159602,0.4547006025,9.059849877
179.JPG,7.724500777,379.7768689,0.7093585706,0.9153368097,0.9179533565,0.8378414753,4.351286765
18.JPG,2.818009222,97.11173407,0.6772810906,0.969961039,0.9711811776,0.9408244172,1.321905637
180.JPG,5.090850097,274.155913,0.8076572504,0.9509655855,0.952283937,0.9043355448,2.650245098
181.JPG,8.803533035,240.0931679,0.8497060017,0.9177402925,0.922077149,0.8422472445,3.024264706
182.JPG,3.954879043,180.8697304,0.6627325714,0.9584417658,0.9594439986,0.9186106184,2.184926471
183.JPG,92.32388505,1016.852727,0.8904370061,0.6162843749,0.6382831441,0.3798064308,12.21697304
184.JPG,13.81058478,541.0877145,0.8113783109,0.8599756098,0.8650534333,0.7395580494,6.180698529
185.JPG,17.8430877,264.7288297,0.8273946287,0.8910874848,0.8961564109,0.7940369055,3.732598039
186.JPG,28.47879425,565.1161152,0.8643886199,0.8523773011,0.8573733842,0.7265470635,6.566390931
187.JPG,3.607166397,140.6591912,0.7584708109,0.9731926835,0.9738521707,0.9471039993,1.457199755
188.JPG,44.12361546,671.236152,0.9094004809,0.7329581587,0.7493805262,0.5372276624,8.145802696
189.JPG,98.36285097,873.5025735,0.9338257359,0.5262529575,0.5605654146,0.2769421753,11.88468137
19.JPG,20.77608767,579.9148284,0.7791083468,0.8619680381,0.8657254514,0.7429888988,6.749816176
190.JPG,12.16523372,305.4843137,0.8735490254,0.8993578502,0.9031346465,0.8088445427,3.82879902
191.JPG,10.63150048,378.8829963,0.834300896,0.8998491517,0.9041897821,0.8097284957,4.253308824
192.JPG,2.080055384,100.7882659,0.5925918349,0.9807448383,0.9811368273,0.9618604379,1.15278799
193.JPG,16.34726642,456.8551164,0.7928542848,0.8716637615,0.8754247358,0.7597977132,5.697120098
194.JPG,28.25508575,690.2198836,0.8542440071,0.7528711629,0.7635215893,0.566814988,8.904932598
195.JPG,12.07035662,420.3603554,0.7650033587,0.8862323969,0.8901897307,0.7854078614,5.038848039
196.JPG,2.587733936,127.1319547,0.6743059412,0.9732234566,0.9739789343,0.9471638966,1.451102941
197.JPG,66.470611,894.7476103,0.9084012841,0.6739077376,0.6908292323,0.4541516388,10.71632966
198.JPG,14.64949616,498.0289828,0.806790947,0.8790932916,0.8829791026,0.7728050154,5.610692402
199.JPG,5.745466663,264.9355699,0.7100218747,0.9445632055,0.9459180892,0.8921996492,2.987071078
2.JPG,16.03290746,608.2122243,0.7825555048,0.8649389885,0.8690579329,0.7481194538,6.65713848
20.JPG,11.04688701,482.5725184,0.7908168552,0.9016412867,0.9045542089,0.8129570098,5.069577206
200.JPG,2.819220345,146.6409926,0.7433612606,0.9667131099,0.9676778415,0.9345342368,1.694914216
201.JPG,99.14295061,820.1921875,0.9104916937,0.456676632,0.4853268242,0.2085535462,14.3986826
202.JPG,3.989165878,203.3723346,0.749272747,0.9652272365,0.9665002896,0.9316636181,1.96026348
